,VRSB
880,22.049999237060547
881,25.700000762939453
882,25.700000762939453
883,22.899999618530273
884,24.350000381469727
885,21.850000381469727
886,21.100000381469727
887,21.100000381469727
888,21.100000381469727
889,21.100000381469727
890,21.100000381469727
891,21.100000381469727
892,21.049999237060547
893,23.950000762939453
894,24.0
895,24.399999618530273
896,22.25
897,22.25
898,23.950000762939453
899,23.950000762939453
900,22.5
901,22.5
902,22.5
903,27.25
904,27.25
905,27.25
906,27.25
907,19.25
908,20.0
909,19.75
910,19.75
911,19.75
912,18.200000762939453
913,19.0
914,19.0
915,19.0
916,19.0
917,19.0
918,17.399999618530273
919,17.399999618530273
920,17.899999618530273
921,21.899999618530273
922,21.899999618530273
923,19.899999618530273
924,19.899999618530273
925,19.899999618530273
926,18.899999618530273
927,18.899999618530273
928,18.899999618530273
929,18.899999618530273
930,18.899999618530273
931,18.799999237060547
932,18.799999237060547
933,15.449999809265137
934,14.699999809265137
935,14.699999809265137
936,14.699999809265137
937,14.699999809265137
938,14.699999809265137
939,14.699999809265137
940,14.699999809265137
941,14.699999809265137
942,14.699999809265137
943,14.699999809265137
944,14.699999809265137
945,14.699999809265137
946,14.699999809265137
947,14.699999809265137
948,14.699999809265137
949,14.699999809265137
950,17.399999618530273
951,21.100000381469727
952,23.049999237060547
953,31.950000762939453
954,31.950000762939453
955,27.5
956,36.95000076293945
957,27.0
958,23.0
959,23.0
960,23.0
961,23.0
962,23.0
963,23.0
964,23.0
965,23.0
966,23.0
967,19.0
968,19.299999237060547
969,17.600000381469727
970,17.600000381469727
971,17.600000381469727
972,17.100000381469727
973,17.100000381469727
974,17.100000381469727
975,14.75
976,14.75
977,15.149999618530273
978,15.149999618530273
979,18.299999237060547
980,19.149999618530273
981,19.399999618530273
982,15.850000381469727
983,16.450000762939453
984,17.0
985,16.049999237060547
986,16.100000381469727
987,19.5
988,16.700000762939453
989,16.700000762939453
990,18.049999237060547
991,18.049999237060547
992,18.0
993,18.0
994,18.100000381469727
995,16.950000762939453
996,22.5
997,19.149999618530273
998,23.100000381469727
999,19.5
1000,19.5
1001,19.5
1002,19.5
1003,19.5
1004,19.5
1005,18.549999237060547
1006,18.450000762939453
1007,19.25
1008,26.649999618530273
1009,26.399999618530273
1010,23.450000762939453
1011,25.399999618530273
1012,25.399999618530273
1013,24.0
1014,29.350000381469727
1015,21.5
1016,21.5
1017,27.950000762939453
1018,27.950000762939453
1019,28.700000762939453
1020,30.950000762939453
1021,36.849998474121094
1022,30.799999237060547
1023,29.0
1024,29.149999618530273
1025,27.600000381469727
1026,27.75
1027,29.799999237060547
1028,26.549999237060547
1029,29.950000762939453
1030,29.5
1031,28.0
1032,34.75
1033,32.29999923706055
1034,31.0
1035,31.450000762939453
1036,29.399999618530273
1037,29.5
1038,28.299999237060547
1039,28.450000762939453
1040,29.350000381469727
1041,29.700000762939453
1042,28.149999618530273
1043,28.149999618530273
1044,28.549999237060547
1045,28.549999237060547
1046,28.549999237060547
1047,28.549999237060547
1048,29.0
1049,29.649999618530273
1050,28.549999237060547
1051,28.950000762939453
1052,28.549999237060547
1053,27.350000381469727
1054,26.5
1055,26.149999618530273
1056,26.149999618530273
1057,22.049999237060547
1058,21.799999237060547
1059,21.799999237060547
1060,21.799999237060547
1061,21.799999237060547
1062,21.799999237060547
1063,21.5
1064,21.5
1065,21.350000381469727
1066,21.350000381469727
1067,21.399999618530273
1068,20.799999237060547
1069,21.0
1070,21.0
1071,21.0
1072,21.299999237060547
1073,21.299999237060547
1074,21.299999237060547
1075,19.899999618530273
1076,19.899999618530273
1077,19.899999618530273
1078,19.649999618530273
1079,19.649999618530273
1080,19.649999618530273
1081,19.850000381469727
1082,23.899999618530273
1083,23.899999618530273
1084,24.950000762939453
1085,24.0
1086,23.0
1087,23.100000381469727
1088,23.100000381469727
1089,23.100000381469727
1090,24.299999237060547
1091,24.299999237060547
1092,24.299999237060547
1093,24.299999237060547
1094,24.299999237060547
