,BLNG
333,3.365000009536743
334,3.25
335,3.390000104904175
336,3.5199999809265137
337,3.494999885559082
338,3.4200000762939453
339,3.440000057220459
340,3.4149999618530273
341,3.450000047683716
342,3.4749999046325684
343,3.5
344,3.509999990463257
345,3.4800000190734863
346,3.6649999618530273
347,3.569999933242798
348,3.5
349,3.6600000858306885
350,3.7200000286102295
351,3.7300000190734863
352,3.994999885559082
353,3.9749999046325684
354,3.8949999809265137
355,3.9000000953674316
356,4.050000190734863
357,4.164999961853027
358,4.065000057220459
359,4.005000114440918
360,3.9700000286102295
361,3.934999942779541
362,4.050000190734863
363,4.364999771118164
364,4.34499979019165
365,4.46999979019165
366,4.400000095367432
367,4.434999942779541
368,4.505000114440918
369,4.364999771118164
370,4.635000228881836
371,4.639999866485596
372,4.764999866485596
373,5.199999809265137
374,4.949999809265137
375,5.014999866485596
376,4.875
377,4.454999923706055
378,4.559999942779541
379,4.199999809265137
380,3.9000000953674316
381,3.799999952316284
382,3.9800000190734863
383,4.139999866485596
384,4.090000152587891
385,3.984999895095825
386,3.940000057220459
387,3.9149999618530273
388,3.9800000190734863
389,3.924999952316284
390,3.8350000381469727
391,4.034999847412109
392,4.09499979019165
393,4.050000190734863
394,4.125
395,4.099999904632568
396,4.184999942779541
397,4.054999828338623
398,3.930000066757202
399,3.865000009536743
400,3.8499999046325684
401,3.9000000953674316
402,3.869999885559082
403,3.8949999809265137
404,3.9000000953674316
405,3.869999885559082
406,3.9000000953674316
407,3.9200000762939453
408,3.8299999237060547
409,3.7850000858306885
410,3.809999942779541
411,3.7899999618530273
412,3.75
413,3.7049999237060547
414,3.7100000381469727
415,3.7100000381469727
416,3.7850000858306885
417,3.7799999713897705
418,3.755000114440918
419,3.7249999046325684
420,3.5250000953674316
421,3.5
422,3.5199999809265137
423,3.5850000381469727
424,3.609999895095825
425,3.609999895095825
426,3.6600000858306885
427,3.690000057220459
428,3.6700000762939453
429,3.7049999237060547
430,3.6500000953674316
431,3.619999885559082
432,3.809999942779541
433,3.765000104904175
434,3.7750000953674316
435,3.759999990463257
436,3.7100000381469727
437,3.6449999809265137
438,3.744999885559082
439,3.7950000762939453
440,3.75
441,3.734999895095825
442,3.7049999237060547
443,3.7850000858306885
444,3.765000104904175
445,3.8399999141693115
446,3.815000057220459
447,3.740000009536743
448,3.734999895095825
449,3.7100000381469727
450,3.7149999141693115
451,3.7249999046325684
452,3.690000057220459
453,3.7200000286102295
454,3.640000104904175
455,3.7300000190734863
456,3.7149999141693115
457,3.700000047683716
458,3.6449999809265137
459,3.700000047683716
460,3.549999952316284
461,3.609999895095825
462,3.694999933242798
463,3.6600000858306885
464,3.6700000762939453
465,3.880000114440918
466,3.994999885559082
467,4.039999961853027
468,3.8450000286102295
469,3.819999933242798
470,3.8450000286102295
471,3.9100000858306885
472,3.825000047683716
473,3.805000066757202
474,3.8550000190734863
475,3.8399999141693115
476,3.809999942779541
477,3.930000066757202
478,3.819999933242798
479,3.8399999141693115
480,3.819999933242798
481,3.75
482,3.7899999618530273
483,3.819999933242798
484,3.819999933242798
485,3.9000000953674316
486,3.890000104904175
487,3.799999952316284
488,3.819999933242798
489,3.809999942779541
490,3.809999942779541
491,3.9700000286102295
492,3.9100000858306885
493,3.759999990463257
494,3.930000066757202
495,3.9200000762939453
496,3.9700000286102295
497,3.9800000190734863
498,4.0
499,3.9200000762939453
500,3.950000047683716
501,4.130000114440918
502,4.019999980926514
503,4.010000228881836
504,3.880000114440918
505,3.9100000858306885
506,3.930000066757202
507,3.9600000381469727
508,4.0
509,3.9600000381469727
510,3.950000047683716
511,3.950000047683716
512,3.990000009536743
513,3.869999885559082
514,3.7799999713897705
515,3.7200000286102295
516,3.680000066757202
517,3.6500000953674316
518,3.619999885559082
519,3.6600000858306885
520,3.6600000858306885
521,3.6500000953674316
522,3.5799999237060547
523,3.7300000190734863
524,3.740000009536743
525,3.7200000286102295
526,3.75
527,3.759999990463257
528,3.809999942779541
529,3.759999990463257
530,3.809999942779541
531,3.8499999046325684
532,3.8299999237060547
533,3.880000114440918
534,3.859999895095825
535,3.8499999046325684
536,3.7799999713897705
537,3.7699999809265137
538,3.759999990463257
539,3.9000000953674316
540,3.869999885559082
541,3.9100000858306885
542,3.9800000190734863
543,3.950000047683716
544,3.9000000953674316
545,3.990000009536743
546,3.8499999046325684
547,3.819999933242798
548,3.8499999046325684
549,3.819999933242798
550,3.8299999237060547
551,3.990000009536743
552,3.819999933242798
553,4.079999923706055
554,4.090000152587891
555,4.099999904632568
556,4.010000228881836
557,4.039999961853027
558,3.9800000190734863
559,4.03000020980835
560,4.0
561,3.9000000953674316
562,3.950000047683716
563,3.940000057220459
564,3.950000047683716
565,3.940000057220459
566,3.9000000953674316
567,3.819999933242798
568,3.7799999713897705
569,3.819999933242798
570,3.8299999237060547
571,3.809999942779541
572,3.75
573,3.799999952316284
574,3.8499999046325684
575,3.880000114440918
576,3.9200000762939453
577,3.930000066757202
578,3.9100000858306885
579,3.819999933242798
580,3.819999933242798
581,3.8499999046325684
582,3.809999942779541
583,3.9000000953674316
584,4.0
585,4.010000228881836
586,3.940000057220459
587,5.090000152587891
588,4.920000076293945
589,4.53000020980835
590,4.239999771118164
591,4.010000228881836
592,3.819999933242798
593,3.75
594,3.8399999141693115
595,3.75
596,3.799999952316284
597,3.9700000286102295
598,4.0
599,3.950000047683716
600,4.070000171661377
601,4.130000114440918
602,3.9700000286102295
603,4.0
604,4.0
605,4.03000020980835
606,4.070000171661377
607,4.079999923706055
608,4.019999980926514
609,4.010000228881836
610,4.0
611,3.950000047683716
612,4.039999961853027
613,4.019999980926514
614,4.010000228881836
615,4.010000228881836
616,4.0
617,3.9700000286102295
618,4.0
619,4.039999961853027
620,4.050000190734863
621,4.070000171661377
622,4.0
623,4.03000020980835
624,4.099999904632568
625,4.119999885559082
626,4.130000114440918
